file,labels,time
afghanistan,184,1860
albania,21,26
algeria,60,14
angola,49,9
australia,218,129
austria,60,113
azerbaijan,58,46
belarus,101,44
belgium,29,41
bolivia,66,16
bosnia-and-herzegovina,52,640
botswana,25,6
brazil,381,407
bulgaria,33,15
burkina-faso,52,15
burma,38,8
burundi,15,12
cambodia,51,40
cameroon,30,6
chad,27,7
chile,84,24
colombia,71,19
congo-kinshasa,85,24
cote-divoire,90,108
cuba,65,331
denmark,62,83
dominican-republic,27,12
ecuador,41,9
egypt,42,11
ethiopia,35,7
finland,261,808
france,58,11
germany,249,47375
greece,155,3005
guatemala,54,125602
guinea,35,23
hungary,87,1166
india,211,166
iran,346,781
iraq,97,299
ireland,33,11
italy,114,66
japan,77,21
jordan,30,137
kazakhstan,92,27
kenya,36,8
korea-north,35,13
korea-south,53,85
kosovo,15,30
kyrgyzstan,56,42
laos,43,14
latvia,75,265
lebanon,14,18
libya,38,9
lithuania,55,19
luxembourg,13,711
macedonia,27,105
madagascar,37,7
malawi,30,9
malaysia,37,9
mali,57,14
malta,6,124
moldova,26,11
mongolia,324,326
montenegro,17,11
mozambique,30,5
namibia,30,6
netherlands,72,248580
new-zealand,36,22
niger,41,10
norway,325,1348
pakistan,121,72
paraguay,34,11
peru,88,28
philippines,119,103
poland,238,34345
portugal,92,36613
puerto-rico,18,3134
romania,44,24
saudi-arabia,31,6
serbia,69,2932
slovakia,43,85
slovenia,37,3172
somalia,33,20
south-africa,72,17
spain,63,15
sudan,32,6
sweden,233,546
switzerland,43,309
syria,90,3521
taiwan,21,25
tajikistan,49,35
tanzania,60,15
tunisia,28,7
uganda,75,198
united-kingdom,152,326
uruguay,32,6
uxbekistan,73,65
venezuela,50,11
yemen,116,69195
zambia,34,23
